sci_name|genus|subgenus|specific_epithet|subspecies|original_name_combination
Caluromys_derbianus|Caluromys|Mallodelphys|derbianus|NA|Didelphys Derbianus
Caluromys_lanatus|Caluromys|Mallodelphys|lanatus|_C. l. lanatus_ (Olfers, 1818) (synonyms: _cahyensis_ (Matschie, 1917), _laniger_ (Desmarest, 1821), _vitalinus_ (Miranda-Ribeiro, 1936)); _C. l. ochropus_ (Wagner, 1842) (synonyms: _bartletti_ (Matschie, 1917), _cicur_ (Bangs, 1898), _jivaro_ (Thomas, 1913), _juninensis_ (Matschie, 1917), _meridensis_ (Matschie, 1917), _modestus_ (Miranda-Ribeiro, 1936), _nattereri_ (Matschie, 1917), _ornatus_ (Tschudi, 1845))|Didelphys lanata
Caluromys_philander|Caluromys|Caluromys|philander|NA|Didelphis Philander
Marmosa_adleri|Marmosa|Micoureus|adleri|NA|Marmosa (Micoureus) adleri
Marmosa_alstoni|Marmosa|Micoureus|alstoni|NA|Caluromys alstoni
Marmosa_andersoni|Marmosa|Stegomarmosa|andersoni|NA|Marmosa (Stegomarmosa) andersoni
Marmosa_chachapoya|Marmosa|Stegomarmosa|chachapoya|NA|Marmosa (Stegomarmosa) chachapoya
Marmosa_constantiae|Marmosa|Micoureus|constantiae|NA|Marmosa constantiae
Marmosa_demerarae|Marmosa|Micoureus|demerarae|NA|Marmosa cinerea demerarae
Marmosa_germana|Marmosa|Micoureus|germana|NA|Marmosa germana
Marmosa_isthmica|Marmosa|Exulomarmosa|isthmica|NA|Marmosa isthmica
Marmosa_jansae|Marmosa|Micoureus|jansae|NA|Marmosa jansae
Marmosa_lepida|Marmosa|Stegomarmosa|lepida|NA|Didelphys (Micoureus) lepida
Marmosa_macrotarsus|Marmosa|Marmosa|macrotarsus|NA|Didelphys macrotarsus
Marmosa_mexicana|Marmosa|Exulomarmosa|mexicana|NA|Marmosa murina mexicana
Marmosa_murina|Marmosa|Marmosa|murina|NA|Didelphis murina
Marmosa_nicaraguae|Marmosa|Micoureus|nicaraguae|NA|Marmosa cinerea nicaraguae
Marmosa_paraguayana|Marmosa|Micoureus|paraguayana|NA|Marmosa cinerea paraguayana
Marmosa_parda|Marmosa|Micoureus|parda|NA|Marmosa germana parda
Marmosa_perplexa|Marmosa|Micoureus|perplexa|NA|Marmosa perplexa
Marmosa_phaea|Marmosa|Micoureus|phaea|NA|Marmosa phaea
Marmosa_rapposa|Marmosa|Micoureus|rapposa|NA|Marmosa rapposa
Marmosa_robinsoni|Marmosa|Exulomarmosa|robinsoni|NA|Marmosa robinsoni
Marmosa_rubra|Marmosa|Eomarmosa|rubra|NA|Marmosa rubra
Marmosa_rutteri|Marmosa|Micoureus|rutteri|NA|Marmosa rutteri
Marmosa_simonsi|Marmosa|Exulomarmosa|simonsi|NA|Marmosa Simonsi
Marmosa_tyleriana|Marmosa|Marmosa|tyleriana|NA|Marmosa tyleriana
Marmosa_waterhousei|Marmosa|Marmosa|waterhousei|NA|Didelphys waterhousii
Marmosa_xerophila|Marmosa|Exulomarmosa|xerophila|NA|Marmosa xerophila
Marmosa_zeledoni|Marmosa|Exulomarmosa|zeledoni|NA|Marmosa zeledoni
Monodelphis_adusta|Monodelphis|Mygalodelphys|adusta|NA|Peramys adustus
Monodelphis_americana|Monodelphis|Microdelphys|americana|NA|Sorex americanus
Monodelphis_arlindoi|Monodelphis|Monodelphis|arlindoi|NA|Monodelphis arlindoi
