sci_name|genus|subgenus|specific_epithet|subspecies|original_name_combination
Tachyglossus_aculeatus|Tachyglossus|NA|aculeatus|_T. a. acanthion_ (Collett, 1885) (synonyms: _ineptus_ Thomas, 1906); _T. a. aculeatus_ (Shaw, 1792) (synonyms: _acrobata_ (Blyth, 1863), _australiensis_ (Lesson, 1827), _australis_ (Lesson, 1838), _corealis_ (Krefft, 1872), _eracinius_ (Mudie, 1829), _histrix_ (Geoffroy Saint-Hilaire, 1803), _hystrix_ (Home, 1802), _longiaculeatus_ (Tiedemann, 1808), _myrmecophagus_ (Goldfuss, 1809), _novaehollandiae_ (Lacépède, 1799), _orientalis_ (Krefft, 1872), _typicus_ (Thomas, 1885)); _T. a. lawesii_ Ramsay, 1877; _T. a. multiaculeatus_ (Rothschild, 1905) (synonyms: _sydneiensis_ (Kowarzik, 1909)); _T. a. setosus_ (Geoffroy Saint-Hilaire, 1803) (synonyms: _breviaculeatus_ (Tiedemann, 1808), _hobartensis_ (Kowarzik, 1909), _longirostrus_ (Perry, 1810))|Myrmecophaga aculeata
Zaglossus_bartoni|Zaglossus|NA|bartoni|_Z. b. bartoni_ (Thomas, 1907) (synonyms: _bubuensis_ Laurie, 1952); _Z. b. clunius_ Thomas & Rothschild, 1922; _Z. b. diamondi_ Flannery & Groves, 1998; _Z. b. smeenki_ Flannery & Groves, 1998|Acanthoglossus Bruijnii Bartoni
Caenolestes_convelatus|Caenolestes|NA|convelatus|_C. c. barbarensis_ Bublitz, 1987; _C. c. convelatus_ Anthony, 1924|Cænolestes convelatus
Caenolestes_fuliginosus|Caenolestes|NA|fuliginosus|_C. f. centralis_ Bublitz, 1987; _C. f. fuliginosus_ (Tomes, 1863) (synonyms: _tatei_ Anthony, 1923); _C. f. obscurus_ Thomas, 1895|Hyracodon fuliginosus
Rhyncholestes_raphanurus|Rhyncholestes|NA|raphanurus|_R. r. continentalis_ Bublitz, 1987; _R. r. raphanurus_ Osgood, 1924|Rhyncholestes raphanurus
Caluromys_lanatus|Caluromys|Mallodelphys|lanatus|_C. l. lanatus_ (Olfers, 1818) (synonyms: _cahyensis_ (Matschie, 1917), _laniger_ (Desmarest, 1821), _vitalinus_ (Miranda-Ribeiro, 1936)); _C. l. ochropus_ (Wagner, 1842) (synonyms: _bartletti_ (Matschie, 1917), _cicur_ (Bangs, 1898), _jivaro_ (Thomas, 1913), _juninensis_ (Matschie, 1917), _meridensis_ (Matschie, 1917), _modestus_ (Miranda-Ribeiro, 1936), _nattereri_ (Matschie, 1917), _ornatus_ (Tschudi, 1845))|Didelphys lanata
Didelphis_virginiana|Didelphis|NA|virginiana|_D. v. californica_ Bennett, 1833 (synonyms: _breviceps_ Bennett, 1833, _pruinosa_ Wagner, 1842, _texensis_ Allen, 1901); _D. v. pigra_ Bangs, 1898; _D. v. virginiana_ Kerr, 1792 (synonyms: _boreoamericana_ Allen, 1902, _boreoamericana_ Oken, 1816, _illinensium_ Link, 1795, _pilosissima_ Link, 1795, _typica_ Bangs, 1898, _woapink_ Barton, 1806); _D. v. yucatanensis_ Allen, 1901 (synonyms: _cozumelae_ Merriam, 1901, _nelsoni_ Allen, 1901)|Didelphis virginiana
Lutreolina_crassicaudata|Lutreolina|NA|crassicaudata|_L. c. crassicaudata_ (Desmarest, 1804) (synonyms: _bonaria_ Thomas, 1923, _ferruginea_ (Larrañaga, 1923), _lutrilla_ Thomas, 1923, _macroura_ (Desmoulins, 1824), _paranalis_ Thomas, 1923, _travassosi_ Miranda-Ribeiro, 1936); _L. c. turneri_ (Günther, 1879)|Didelphis crassicaudata
Dromiciops_gliroides|Dromiciops|NA|gliroides|_D. g. gliroides_ Thomas, 1894 (synonyms: _australis_ (Philippi, 1893)); _D. g. mondaca_ D'Elía, Hurtado & D'Anatro, 2016|Dromiciops gliroides
Dasyurus_geoffroii|Dasyurus|NA|geoffroii|_D. g. fortis_ Thomas, 1906; _D. g. geoffroii_ Gould, 1841|Dasyurus Geoffroii
